CallNo,RptNo,PRA,Beat,OffId,FromDateTime,ToDateTime,NatCall,Title,Location,AptNo,RunDate,RunDataBeginDate,RunDataEndDate,lon,lat,address
122220744,120047002,41,240,1430,8/9/2012 6:20,8/9/2012 18:40,BURAPT,BURGLARY--APARTMENT,2024 MADISON DR,193,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0998337,32.7667702,"2024 madison drive, arlington, tx 76011, usa"
122241057,120047549,263,450,2753,8/11/2012 22:52,8/11/2012 22:52,BURAPT,BURGLARY--APARTMENT,1709 SHERRY ST,G,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0717559,32.7163867,"1709 sherry street, arlington, tx 76010, usa"
122570391,120054347,30,240,2112,9/13/2012 1:00,9/13/2012 9:30,BURAPT,BURGLARY--APARTMENT,2217 LINCOLN DR,410,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1051257,32.7702257,"2217 lincoln drive, arlington, tx 76011, usa"
122600016,120054890,63,220,2628,9/13/2012 0:09,,BURAPT,BURGLARY--APARTMENT,2716 FURRS ST,265,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0933596,32.7804318,"2716 furrs street, arlington, tx 76006, usa"
122610624,120055172,390,320,2498,9/17/2012 7:00,9/17/2012 16:30,BURAPT,BURGLARY--APARTMENT,5030 SAVANNAH CLUB DR,602,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.2154429,32.665137,"5030 savannah club drive, arlington, tx 76017, usa"
122630530,120055508,84,220,1218,9/19/2012 9:00,9/19/2012 12:15,BURAPT,BURGLARY--APARTMENT,2306 FOREST OAKS CR,173,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0659043,32.7716741,"2306 forest oaks circle, arlington, tx 76006, usa"
122680878,120056594,72,220,2541,9/24/2012 20:08,,BURAPT,BURGLARY--APARTMENT,2615 NIKOS PL,75,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0638264,32.781266,"2615 nikos place, arlington, tx 76006, usa"
122690712,120056745,104,330,1521,9/25/2012 7:00,9/25/2012 15:16,BURAPT,BURGLARY--APARTMENT,2641 W RANDOL MILL RD,A,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1469993,32.7559745,"2641 west randol mill road, arlington, tx 76012, usa"
122750571,120057906,416,530,2757,10/1/2012 7:30,10/1/2012 15:30,BURAPT,BURGLARY--APARTMENT,5816 BAYMEADOWS LN,1401,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1324147,32.6516901,"5816 baymeadows lane, arlington, tx 76017, usa"
122761322,120058223,214,260,2521,10/2/2012 14:00,10/2/2012 23:03,BURAPT,BURGLARY--APARTMENT,100 E THIRD ST,3,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.106587,32.729853,"100 east 3rd street, arlington, tx 76010, usa"
122780483,120058544,74,220,2552,10/4/2012 11:30,10/4/2012 14:20,BURAPT,BURGLARY--APARTMENT,2501 NORTH FORTY CR,838,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0644411,32.7756996,"2501 north forty circle, arlington, tx 76006, usa"
122780722,120058581,282,420,2735,10/4/2012 17:34,10/4/2012 22:56,BURAPT,BURGLARY--APARTMENT,810 TIMBERLAKE CT,2096,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.0463861,32.727438,"810 timberlake court, arlington, tx 76010, usa"
122810783,120059224,416,530,2721,10/7/2012 21:17,,BURAPT,BURGLARY--APARTMENT,6101 CREEKWAY LN,701,4/10/2013 0:00,4/10/2012 0:00,4/8/2013 0:00,-97.1232116,32.6466047,"6101 creekway lane, arlington, tx 76017, usa"
